BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,"RESIDENTIAL
UNITS","COMMERCIAL
UNITS","TOTAL 
UNITS","LAND 
SQUARE FEET","GROSS 
SQUARE FEET",YEAR BUILT,TAX CLASS AT TIME OF SALE,"BUILDING CLASS
AT TIME OF SALE",SALE PRICE,SALE DATE
,,,,,,,,,,,,,,,,,,,,
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6361,15,,A5,59 BAY 10TH STREET,,11228,1,0,1,"1,933","1,660",1930,1,A5,"1,185,000",8/8/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6372,39,,A9,8629 19TH AVENUE,,11214,1,0,1,"2,417","1,944",1930,1,A9,0,12/5/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6376,13,,A9,69 BAY 25TH STREET,,11214,1,0,1,"2,868","2,330",1915,1,A9,"1,360,000",5/6/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6395,20,,A5,135 BAY 10TH STREET,,11228,1,0,1,"2,417","2,000",1935,1,A5,0,1/12/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6398,39,,A1,1638 BENSON AVENUE,,11214,1,0,1,"3,625","1,825",1925,1,A1,0,6/21/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6401,6,,S1,1735 BATH AVENUE,,11214,1,1,2,"1,112","1,520",1920,1,S1,0,9/27/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6402,23,,A5,121 BAY 17 STREET,,11214,1,0,1,"1,619",912,1910,1,A5,0,11/27/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6412,8,,S1,2107 BATH AVENUE,,11214,1,1,2,835,"1,462",1930,1,S1,"958,000",5/10/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6426,34,,A5,185 BAY 8TH STREET,,11228,1,0,1,"1,933","1,562",1920,1,A5,0,5/29/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6427,21,,A1,8805 15TH AVENUE,,11228,1,0,1,"4,559","1,440",1920,1,A1,"1,545,000",6/10/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6428,65,,A5,228 BAY 11TH STREET,,11228,1,0,1,"1,990","1,328",1925,1,A5,"850,000",1/30/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6429,25,,A1,195 BAY 11TH STREET,,11228,1,0,1,"3,867","1,372",1910,1,A1,0,6/17/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6444,8,,A5,217 BAY 26TH STREET,,11214,1,0,1,"1,740","1,674",1955,1,A5,"992,000",1/4/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6459,76,,A5,8926 15TH AVENUE,,11228,1,0,1,"2,900","2,286",1910,1,A5,"1,325,000",10/15/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,9,,A5,8927 15 AVENUE,,11228,1,0,1,"1,740","1,674",1960,1,A5,"999,000",12/4/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,59,,A1,284 BAY 10TH STREET,,11228,1,0,1,"3,867","2,007",1925,1,A1,"1,960,000",12/13/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6460,64,,A5,294 BAY 10TH STREET,,11228,1,0,1,"1,933","1,152",1920,1,A5,"1,205,000",10/30/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,79,,A5,311 BAY 14TH STREET,,11214,1,0,1,"1,511",992,1950,1,A5,0,10/18/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,101,,A5,259 BAY 14TH STREET,,11214,1,0,1,"1,795","1,152",1930,1,A5,0,1/9/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,110,,A5,260 BAY 14TH STREET,,11214,1,0,1,"1,795","1,204",1930,1,A5,0,11/4/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,254,,A5,294 BAY 13TH STREET,,11214,1,0,1,"1,649",928,1945,1,A5,0,7/8/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,266,,A5,243 BAY 13TH STREET,,11214,1,0,1,"2,060","1,240",1940,1,A5,"1,030,000",5/15/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,301,,A5,317 BAY 13TH STREET,,11214,1,0,1,"1,619",928,1940,1,A5,0,4/25/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6461,305,,A5,325 BAY 13TH STREET,,11214,1,0,1,"1,619",928,1940,1,A5,0,8/8/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6463,108,,A5,8893 18TH AVENUE,,11214,1,0,1,"1,456",992,1950,1,A5,0,9/18/24
3,BATH BEACH,01 ONE FAMILY DWELLINGS,1,6466,75,,A5,224 BAY 23RD STREET,,11214,1,0,1,"1,983","1,420",1945,1,A5,"980,000",5/28/24
3,BATH BEACH,02 TWO FAMILY DWELLINGS,1,6357,46,,B1,24 BAY 7TH STREET,,11228,2,0,2,"2,320","2,160",1930,1,B1,"1,655,000",6/11/24
