RESIDENTIAL_UNITS,GROSS_SQUARE_FEET,BUILDING_AGE
2.0,1600.0,114.0
7.0,5280.0,11.0
3.0,3039.0,18.0
2.0,1870.0,99.0
2.0,1740.0,89.0
4.0,2600.0,93.0
2.0,4460.0,119.0
2.0,3400.0,125.0
2.0,2040.0,114.0
4.0,3861.0,94.0
3.0,5908.0,32.0
1.0,1128.0,104.0
1.0,1916.0,99.0
1.0,2100.0,104.0
2.0,1920.0,114.0
2.0,2496.0,94.0
4.0,2920.0,94.0
2.0,2700.0,20.0
2.0,1890.0,84.0
1.0,1472.0,99.0
8.0,13112.0,94.0
2.0,2142.0,123.0
1.0,1060.0,104.0
2.0,2200.0,123.0
1.0,1672.0,59.0
6.0,4285.0,114.0
2.0,2104.0,74.0
2.0,2760.0,99.0
3.0,3780.0,125.0
6.0,5000.0,96.0
1.0,1526.0,94.0
2.0,1710.0,114.0
2.0,1740.0,89.0
1.0,1344.0,99.0
1.0,1120.0,59.0
2.0,2340.0,8.0
2.0,1989.0,89.0
1.0,1372.0,104.0
2.0,2144.0,125.0
1.0,1456.0,104.0
2.0,2643.0,125.0
3.0,3480.0,125.0
6.0,4929.0,94.0
1.0,1552.0,89.0
3.0,3276.0,69.0
4.0,4640.0,93.0
2.0,1396.0,123.0
1.0,1280.0,99.0
2.0,1596.0,69.0
29.0,36000.0,102.0
2.0,1045.0,114.0
2.0,2524.0,99.0
1.0,960.0,104.0
1.0,2178.0,64.0
2.0,2384.0,74.0
1.0,1600.0,104.0
2.0,1900.0,125.0
2.0,2748.0,114.0
4.0,3000.0,109.0
2.0,2000.0,59.0
3.0,2240.0,94.0
1.0,672.0,94.0
1.0,1348.0,104.0
1.0,3915.0,125.0
2.0,1975.0,84.0
1.0,2660.0,114.0
1.0,1064.0,99.0
1.0,1980.0,89.0
2.0,2934.0,125.0
1.0,1296.0,64.0
4.0,3280.0,100.0
1.0,1536.0,94.0
2.0,2397.0,64.0
2.0,3288.0,74.0
1.0,2000.0,114.0
2.0,3460.0,114.0
2.0,2960.0,114.0
1.0,1116.0,74.0
2.0,1808.0,94.0
1.0,1075.0,99.0
1.0,1890.0,79.0
1.0,848.0,94.0
3.0,2700.0,125.0
2.0,2856.0,32.0
2.0,2616.0,123.0
1.0,2251.0,123.0
1.0,3253.0,2.0
1.0,1288.0,99.0
1.0,600.0,104.0
2.0,2310.0,93.0
1.0,1116.0,38.0
2.0,2168.0,114.0
3.0,2964.0,94.0
2.0,1890.0,99.0
3.0,2472.0,123.0
2.0,1656.0,104.0
6.0,5280.0,97.0
1.0,1470.0,99.0
2.0,2090.0,114.0
8.0,5848.0,96.0
2.0,1827.0,84.0
5.0,2520.0,93.0
2.0,3660.0,125.0
2.0,2210.0,1.0
1.0,2000.0,99.0
2.0,2280.0,123.0
2.0,8048.0,114.0
1.0,1466.0,104.0
2.0,1970.0,114.0
2.0,1844.0,69.0
2.0,1560.0,64.0
16.0,16512.0,112.0
2.0,1600.0,94.0
1.0,1064.0,99.0
6.0,6123.0,94.0
2.0,2381.0,64.0
1.0,1770.0,94.0
2.0,2600.0,99.0
2.0,2160.0,125.0
3.0,2292.0,123.0
1.0,1536.0,94.0
2.0,2400.0,64.0
2.0,1806.0,64.0
2.0,3000.0,104.0
6.0,4200.0,119.0
1.0,798.0,79.0
2.0,1792.0,89.0
2.0,1510.0,64.0
3.0,3360.0,125.0
2.0,2480.0,99.0
2.0,4009.0,64.0
1.0,1326.0,125.0
2.0,1800.0,64.0
1.0,1368.0,64.0
1.0,1974.0,99.0
2.0,3220.0,94.0
2.0,2793.0,94.0
2.0,2070.0,125.0
1.0,1520.0,94.0
1.0,1344.0,99.0
2.0,1610.0,69.0
1.0,1039.0,104.0
1.0,1537.0,94.0
5.0,3600.0,94.0
2.0,2844.0,94.0
1.0,2001.0,114.0
3.0,3072.0,114.0
2.0,2040.0,104.0
3.0,2700.0,104.0
1.0,1260.0,114.0
1.0,2070.0,114.0
3.0,3420.0,104.0
6.0,4890.0,110.0
2.0,2068.0,79.0
1.0,1408.0,94.0
2.0,1782.0,104.0
3.0,3012.0,123.0
2.0,3004.0,125.0
1.0,3216.0,123.0
3.0,2784.0,125.0
6.0,5712.0,114.0
3.0,2940.0,123.0
2.0,2130.0,74.0
2.0,2322.0,123.0
2.0,1449.0,99.0
3.0,3600.0,104.0
2.0,1680.0,104.0
2.0,1540.0,99.0
2.0,1492.0,94.0
3.0,2500.0,59.0
3.0,3460.0,93.0
2.0,3040.0,125.0
2.0,2200.0,114.0
2.0,3185.0,20.0
2.0,2640.0,99.0
2.0,1848.0,104.0
2.0,2520.0,123.0
2.0,3660.0,125.0
2.0,1950.0,114.0
2.0,1942.0,74.0
2.0,2240.0,64.0
2.0,1872.0,114.0
2.0,2400.0,94.0
3.0,3000.0,114.0
4.0,3952.0,124.0
1.0,1456.0,104.0
3.0,2964.0,89.0
6.0,4500.0,93.0
2.0,2760.0,59.0
4.0,2401.0,94.0
1.0,1624.0,59.0
2.0,1920.0,123.0
2.0,1980.0,94.0
3.0,3720.0,104.0
1.0,1216.0,94.0
3.0,2812.0,59.0
2.0,2340.0,125.0
2.0,1392.0,99.0
1.0,1710.0,59.0
2.0,1568.0,123.0
2.0,1785.0,94.0
1.0,1116.0,38.0
2.0,2200.0,109.0
2.0,2880.0,64.0
1.0,1396.0,109.0
22.0,20800.0,97.0
1.0,1148.0,38.0
2.0,1096.0,99.0
3.0,2430.0,125.0
4.0,3280.0,94.0
2.0,1930.0,74.0
2.0,2240.0,99.0
2.0,3744.0,119.0
1.0,1272.0,99.0
3.0,2748.0,125.0
3.0,2430.0,123.0
2.0,3036.0,109.0
2.0,2124.0,99.0
3.0,2700.0,114.0
1.0,976.0,94.0
2.0,1785.0,99.0
7.0,6800.0,94.0
1.0,1440.0,114.0
2.0,2110.0,84.0
2.0,1960.0,75.0
2.0,1719.0,125.0
2.0,1188.0,114.0
1.0,1588.0,84.0
4.0,3198.0,102.0
2.0,1462.0,104.0
1.0,3580.0,99.0
1.0,1197.0,99.0
3.0,3328.0,49.0
3.0,2256.0,114.0
1.0,1780.0,84.0
1.0,1540.0,94.0
2.0,1852.0,114.0
1.0,1508.0,99.0
2.0,2400.0,109.0
2.0,2720.0,104.0
2.0,1944.0,31.0
3.0,3000.0,114.0
2.0,2001.0,125.0
1.0,2100.0,114.0
2.0,1656.0,99.0
2.0,2292.0,74.0
32.0,38000.0,93.0
4.0,2520.0,93.0
1.0,1312.0,109.0
1.0,1672.0,84.0
2.0,2720.0,94.0
2.0,2674.0,64.0
2.0,2080.0,119.0
1.0,2232.0,114.0
1.0,1620.0,104.0
1.0,1968.0,119.0
2.0,2286.0,94.0
2.0,1916.0,31.0
2.0,1308.0,114.0
1.0,2038.0,84.0
2.0,1944.0,74.0
7.0,1383.0,93.0
1.0,1582.0,104.0
1.0,589.0,104.0
1.0,2350.0,79.0
2.0,2040.0,114.0
2.0,960.0,125.0
3.0,2742.0,104.0
1.0,600.0,79.0
2.0,1640.0,99.0
3.0,3692.0,93.0
3.0,2760.0,84.0
2.0,2536.0,59.0
2.0,1494.0,104.0
3.0,3344.0,119.0
3.0,2565.0,114.0
2.0,2872.0,64.0
1.0,1354.0,104.0
2.0,2011.0,134.0
1.0,1296.0,64.0
2.0,1392.0,99.0
2.0,2840.0,94.0
8.0,6800.0,104.0
2.0,2484.0,114.0
2.0,2152.0,94.0
2.0,2113.0,84.0
1.0,1078.0,114.0
2.0,1700.0,123.0
2.0,2859.0,59.0
1.0,2168.0,114.0
