RESIDENTIAL_UNITS,GROSS_SQUARE_FEET,SALE_PRICE,BUILDING_AGE
1.0,1660.0,1185000.0,94.0
1.0,2330.0,1360000.0,109.0
1.0,1440.0,1545000.0,104.0
1.0,1328.0,850000.0,99.0
1.0,1674.0,992000.0,69.0
1.0,2286.0,1325000.0,114.0
1.0,1674.0,999000.0,64.0
1.0,2007.0,1960000.0,99.0
1.0,1152.0,1205000.0,104.0
1.0,1240.0,1030000.0,84.0
1.0,1420.0,980000.0,79.0
2.0,2160.0,1655000.0,94.0
2.0,2160.0,1560000.0,94.0
2.0,1622.0,925000.0,94.0
2.0,1492.0,888000.0,94.0
2.0,2536.0,1350000.0,94.0
2.0,2536.0,1700000.0,94.0
2.0,2660.0,1880000.0,94.0
2.0,2888.0,1280000.0,84.0
2.0,2025.0,1255000.0,74.0
2.0,2003.0,1280000.0,69.0
2.0,2160.0,1400000.0,84.0
2.0,2160.0,1400000.0,84.0
2.0,1736.0,1342000.0,104.0
2.0,2120.0,1450000.0,99.0
2.0,2240.0,1650000.0,99.0
2.0,2288.0,1310000.0,99.0
2.0,2125.0,1200000.0,74.0
2.0,1765.0,990000.0,89.0
2.0,1802.0,1080000.0,89.0
2.0,1722.0,350000.0,89.0
2.0,2280.0,1395000.0,89.0
2.0,2872.0,1580000.0,64.0
2.0,1475.0,900000.0,104.0
2.0,1740.0,995000.0,94.0
2.0,2400.0,1660000.0,49.0
2.0,2300.0,1038888.0,84.0
2.0,1928.0,1249000.0,74.0
2.0,992.0,650000.0,74.0
2.0,1914.0,700000.0,69.0
2.0,1152.0,650000.0,94.0
2.0,1188.0,999000.0,84.0
2.0,2280.0,1220000.0,64.0
2.0,2280.0,1290000.0,64.0
2.0,1440.0,1350000.0,74.0
2.0,1736.0,955000.0,84.0
2.0,1584.0,973000.0,84.0
2.0,1631.0,425000.0,84.0
2.0,1673.0,1110000.0,79.0
2.0,1993.0,700000.0,79.0
2.0,2052.0,1180000.0,74.0
3.0,3420.0,1550000.0,89.0
3.0,3362.0,1700000.0,94.0
3.0,2980.0,1800000.0,59.0
3.0,2609.0,1955040.0,1.0
3.0,2609.0,1629200.0,1.0
3.0,4125.0,2253899.0,29.0
3.0,7169.0,2907104.0,1.0
3.0,3288.0,1398000.0,94.0
3.0,4662.0,1870000.0,99.0
3.0,2899.0,200000.0,99.0
3.0,2540.0,1580000.0,104.0
3.0,2789.0,1630000.0,104.0
3.0,4216.0,1980000.0,27.0
3.0,3105.0,1300000.0,123.0
3.0,3118.0,1660000.0,64.0
3.0,2850.0,1150000.0,104.0
3.0,1860.0,1189000.0,69.0
4.0,3780.0,1990000.0,77.0
12.0,13500.0,2120000.0,96.0
1.0,1592.0,1013159.0,99.0
1.0,2094.0,1180000.0,31.0
1.0,1672.0,1625000.0,125.0
1.0,2000.0,1601500.0,114.0
1.0,1254.0,890000.0,99.0
1.0,1192.0,1100000.0,99.0
1.0,1192.0,1150000.0,99.0
1.0,1192.0,1288000.0,99.0
1.0,1456.0,570000.0,94.0
1.0,1456.0,985000.0,94.0
1.0,1248.0,1049000.0,104.0
1.0,1916.0,1600000.0,125.0
1.0,2161.0,1225000.0,125.0
1.0,2400.0,1700000.0,114.0
1.0,960.0,590000.0,94.0
1.0,1673.0,850000.0,84.0
1.0,1076.0,780000.0,99.0
1.0,1224.0,1014000.0,99.0
1.0,1840.0,1100000.0,123.0
1.0,1938.0,1050000.0,99.0
1.0,1938.0,1100000.0,99.0
1.0,1520.0,1050000.0,99.0
1.0,1075.0,1205000.0,99.0
1.0,1560.0,1200000.0,99.0
1.0,1810.0,1270000.0,119.0
1.0,1456.0,1290000.0,99.0
1.0,2080.0,1150000.0,109.0
1.0,1617.0,999000.0,99.0
1.0,1216.0,1265000.0,99.0
1.0,4121.0,1450000.0,114.0
1.0,1690.0,1170000.0,104.0
1.0,2640.0,1575000.0,125.0
1.0,768.0,220000.0,5.0
1.0,1720.0,1080000.0,99.0
1.0,1688.0,1375000.0,99.0
1.0,2205.0,1500000.0,79.0
1.0,2250.0,1900000.0,34.0
1.0,2650.0,1444000.0,125.0
1.0,1614.0,1260000.0,119.0
1.0,1632.0,998000.0,104.0
1.0,1638.0,1510000.0,99.0
1.0,1144.0,1050000.0,99.0
1.0,884.0,1300000.0,99.0
1.0,1472.0,1100000.0,99.0
1.0,1472.0,1685000.0,99.0
1.0,1584.0,1400000.0,99.0
1.0,1480.0,1350000.0,104.0
1.0,1573.0,1295000.0,104.0
1.0,1480.0,940000.0,104.0
1.0,2080.0,1430000.0,104.0
1.0,1816.0,1355000.0,104.0
1.0,1816.0,1450000.0,104.0
1.0,1320.0,1350000.0,99.0
1.0,1200.0,1200000.0,99.0
1.0,2000.0,2150000.0,99.0
1.0,1472.0,1315000.0,99.0
1.0,1536.0,1280000.0,99.0
1.0,1836.0,1675000.0,94.0
1.0,4500.0,4000000.0,89.0
1.0,1670.0,1650000.0,104.0
1.0,2087.0,3100000.0,89.0
1.0,2106.0,1700000.0,99.0
1.0,1596.0,1460000.0,94.0
1.0,1584.0,1600000.0,99.0
1.0,2644.0,2999000.0,114.0
1.0,4478.0,2400000.0,99.0
1.0,2549.0,2250000.0,104.0
1.0,1952.0,1999999.0,104.0
1.0,1392.0,1540000.0,104.0
1.0,2016.0,1950000.0,99.0
1.0,1850.0,1100000.0,123.0
1.0,1850.0,1270000.0,123.0
1.0,2680.0,2400000.0,99.0
1.0,4074.0,2997999.0,94.0
1.0,1911.0,1200000.0,99.0
1.0,1384.0,1225000.0,104.0
1.0,1683.0,450000.0,119.0
1.0,2080.0,2025000.0,104.0
1.0,2578.0,2350000.0,104.0
1.0,1387.0,1413000.0,104.0
1.0,1626.0,1122000.0,104.0
1.0,2412.0,2999999.0,99.0
1.0,4518.0,4600000.0,114.0
1.0,1280.0,995000.0,109.0
1.0,2652.0,1800000.0,104.0
1.0,2193.0,1735000.0,104.0
1.0,2100.0,2400000.0,114.0
1.0,1460.0,990000.0,99.0
